Timestamp(s),Radar_State,Mic_Trigger,Fused_System_State
198.22,1,0,1
198.42,1,0,1
198.62,1,0,1
198.82,1,0,1
199.02,1,0,1
199.22,1,0,1
199.42,1,0,1
199.62,1,0,1
199.82,1,1,1
200.02,1,1,1
200.21,1,1,1
200.42,1,0,1
200.61,1,0,1
200.81,1,0,1
201.01,1,0,1
201.22,1,1,1
201.42,1,1,1
201.62,1,1,1
201.82,1,1,1
202.01,1,1,1
202.21,1,0,1
202.41,1,0,1
202.62,1,1,1
202.82,1,0,1
203.02,1,0,1
203.22,1,1,1
203.42,1,0,1
203.62,1,0,1
203.82,1,0,1
204.02,1,0,1
204.22,1,0,1
204.42,1,0,1
204.62,1,0,1
204.82,1,0,1
205.02,1,0,1
205.22,1,0,1
205.41,1,1,1
205.61,1,0,1
205.81,1,1,1
206.01,1,0,1
206.21,1,0,1
206.42,1,0,1
206.62,1,0,1
206.82,1,0,1
207.02,1,0,1
207.22,1,0,1
207.42,1,0,1
207.62,1,0,1
207.82,1,0,1
208.02,1,0,1
208.22,1,0,1
208.42,1,0,1
208.62,1,0,1
208.82,1,0,1
209.02,1,0,1
209.22,1,0,1
209.42,1,1,1
209.62,1,0,1
209.82,1,1,1
210.02,1,0,1
210.22,1,0,1
210.42,1,0,1
210.62,1,0,1
210.82,1,0,1
211.01,1,1,1
211.21,1,0,1
211.41,1,1,1
211.62,1,0,1
211.82,1,0,1
212.02,1,0,1
212.22,1,0,1
212.41,1,0,1
212.62,1,0,1
212.82,1,0,1
213.02,1,0,1
213.22,1,1,1
213.42,1,0,1
213.62,1,0,1
213.82,1,0,1
214.01,1,0,1
214.21,1,0,1
214.41,1,1,1
214.62,1,0,1
214.81,1,1,1
215.02,1,0,1
215.21,1,0,1
215.41,1,0,1
215.61,1,0,1
215.81,1,0,1
216.02,1,0,1
216.21,1,0,1
216.41,1,0,1
216.61,1,0,1
216.81,1,0,1
217.01,1,0,1
217.21,1,0,1
217.42,1,0,1
217.62,1,0,1
217.81,1,0,1
218.02,1,0,1
218.22,1,0,1
218.41,1,0,1
218.61,1,0,1
218.81,1,0,1
219.01,1,0,1
219.21,1,0,1
219.41,1,0,1
219.61,1,0,1
